column,group,in_model,ridge_coef,label,description
c_opp_fp_oe_pg,contribution (log-points),true,0.018594,Points over expected/game,Fantasy points above what opportunity volume predicted.
c_opp_td_per_opp_vs_pos,contribution (log-points),true,0.027381,TD rate vs position,Touchdowns per opportunity vs positional baseline.
c_opp_boom_rate,contribution (log-points),true,-0.059599,Boom-week rate,Share of spike-week outliers; high = volatile.
c_ppg_delta,contribution (log-points),true,-0.000196,PPG change (yr/yr),Change in PPR points/game vs the prior year.
c_career_missed_rate,contribution (log-points),true,-0.039159,Career missed-game rate,Share of career games missed; long-run durability.
c_inj_weeks_listed_l2y,contribution (log-points),true,-0.025212,Weeks on injury report (2y),Weeks listed on the injury report over two seasons.
c_inj_soft_tissue_l2y,contribution (log-points),true,0.005472,Soft-tissue injuries (2y),"Soft-tissue injuries (hamstring, groin, calf) over two seasons."
c_inj_recurrence,contribution (log-points),true,-0.01269,Injury recurrence,Same injury recurring; re-injury risk.
c_apy_cap_pct,contribution (log-points),true,-0.002582,Contract size (% of cap),Average annual value as a share of the salary cap.
c_contract_year,contribution (log-points),true,0.001914,Contract year,Playing in a contract (walk) year.
c_rookie_deal_yr,contribution (log-points),true,0.017833,On rookie contract,Still on the initial rookie contract.
c_draft_r1,contribution (log-points),true,0.010002,First-round pick,Taken in the first round of the NFL draft.
c_draft_r23,contribution (log-points),true,0.020484,Second/third-round pick,Taken in round two or three of the NFL draft.
c_rb_early_rookie,contribution (log-points),true,-0.011334,Early-drafted rookie RB,Running back taken early as a rookie.
c_yrs_since_peak,contribution (log-points),true,0.009741,"",""
c_last_was_career_best,contribution (log-points),true,0.017891,"",""
c_ppg_mismatch,contribution (log-points),true,0.021177,PPG vs market-implied,Last year's PPR points/game minus what the market rank implies. Positive = outscored draft cost.
raw_ppg_mismatch,"feature (IN MODEL, derived in fit_predict)",false,,"",""
_dummy,internal / unused,false,,"",""
adp_gap_ahead,candidate block 'adp_gap' (NOT in model),false,,"",""
adp_gap_behind,candidate block 'adp_gap' (NOT in model),false,,"",""
age,internal / unused,false,,"",""
birthdate,internal / unused,false,,"",""
career_best_ppg,candidate block 'trajectory' (NOT in model),false,,"",""
coach_pass_oe,candidate block 'coach_scheme' (NOT in model),false,,"",""
coach_pass_shift,candidate block 'coach_scheme' (NOT in model),false,,"",""
draft_ovr,internal / unused,false,,"",""
draft_round,internal / unused,false,,"",""
draft_year,internal / unused,false,,"",""
expqb_rush_wrte,candidate block 'qb_rush' (NOT in model),false,,"",""
inj_recurrence_qb,candidate block 'inj_pos' (NOT in model),false,,"",""
inj_weeks_listed_l2y_qb,candidate block 'inj_pos' (NOT in model),false,,"",""
is_rk_draft,internal / unused,false,,"",""
log_pts,internal / unused,false,,"",""
ol_sack_rate_prior,candidate block 'ol_proxy' (NOT in model),false,,"",""
ol_stuff_rate_prior,candidate block 'ol_proxy' (NOT in model),false,,"",""
prev_games,internal / unused,false,,"",""
prev_ppg,internal / unused,false,,"",""
prev_td_share,internal / unused,false,,"",""
prev_team,internal / unused,false,,"",""
prop_mvp,candidate block 'props_dense' (NOT in model),false,,"",""
prop_oroy,candidate block 'props' (NOT in model),false,,"",""
prop_pass_yds,candidate block 'props' (NOT in model),false,,"",""
prop_rec_yds,candidate block 'props_lean' (NOT in model),false,,"",""
prop_rush_yds,candidate block 'props_lean' (NOT in model),false,,"",""
qb_rush_ypg,candidate block 'qb_rush' (NOT in model),false,,"",""
rookie,internal / unused,false,,"",""
rookie_log_pick,internal / unused,false,,"",""
rookie_x_vacated,candidate block 'landing_spot' (NOT in model),false,,"",""
rz_ez_target_share,candidate block 'redzone' (NOT in model),false,,"",""
rz_gl_carry_share,candidate block 'redzone' (NOT in model),false,,"",""
rz_opp_pg,candidate block 'redzone' (NOT in model),false,,"",""
rz_target_share,candidate block 'redzone' (NOT in model),false,,"",""
rz_td_minus_expected,candidate block 'redzone' (NOT in model),false,,"",""
season,internal / unused,false,,"",""
snap_share,candidate block 'snaps' (NOT in model),false,,"",""
snap_share_l4f4,candidate block 'snaps' (NOT in model),false,,"",""
snap_share_max4,candidate block 'snaps' (NOT in model),false,,"",""
sos_dvp,candidate block 'sos' (NOT in model),false,,"",""
sos_dvp_first4,candidate block 'sos' (NOT in model),false,,"",""
tgt_pts,internal / unused,false,,"",""
vegas_wins_c,candidate block 'vegas' (NOT in model),false,,"",""
vegas_wins_delta,candidate block 'vegas' (NOT in model),false,,"",""
vs_adp_off,internal / unused,false,,"",""
yrs_exp,candidate block 'trajectory' (NOT in model),false,,"",""
